,Country,Total_cases,New_cases,Totat_Death,New_Death,Total_Recovered,Active_Case,Serious_case,Total_Cases per 10m pop
,China,80796,18,3169,11,62813,14814,4257,56.1
,Italy,12462,,827,,1045,10590,1028,206.1
,Iran,9000,,354,,2959,5687,,107.2
,S. Korea,7869,114,66,6,333,7470,54,153.5
,France,2281,,48,,12,2221,105,34.9
,Spain,2277,,55,,183,2039,126,48.7
,Germany,1966,,3,,25,1938,9,23.5
,USA,1336,35,38,,15,1283,10,4
,Diamond Princess,696,,7,,325,364,32,
,Switzerland,652,,4,,4,644,,75.3
,Japan,639,,16,1,118,505,26,5.1
,Norway,632,3,,,1,631,,116.6
,Denmark,615,101,,,1,614,,106.2
,Netherlands,503,,5,,2,496,1,29.4
,Sweden,500,,1,,1,498,2,49.5
,UK,456,,8,,18,430,,6.7
,Belgium,314,,3,,1,310,2,27.1
,Austria,302,56,,,4,298,1,33.5
,Qatar,262,,,,,262,,90.9
,Bahrain,195,,,,35,160,1,114.6
,Singapore,178,,,,96,82,12,30.4
,Australia,156,28,3,,26,127,1,6.1
,Malaysia,149,,,,26,123,2,4.6
,Hong Kong,130,,3,,77,50,6,17.3
,Canada,118,8,1,,9,108,1,3.1
,Israel,100,3,,,4,96,2,11.6
,Greece,99,,1,1,,98,2,9.5
,Czechia,94,,,,,94,,8.8
,Iceland,85,,,,,85,,
,Kuwait,80,8,,,5,75,4,18.7
,UAE,74,,,,17,57,2,7.5
,India,73,11,,,4,69,,0.1
,Iraq,71,,8,1,15,48,,1.8
,Thailand,70,11,1,,35,34,1,1
,San Marino,69,,2,,,67,3,
,Lebanon,68,,3,1,1,64,3,10
,Egypt,67,,1,,27,39,,0.7
,Finland,65,,,,1,64,,11.7
,Portugal,61,,,,,61,1,6
,Slovenia,57,,,,,57,,27.4
,Brazil,52,,,,,52,2,0.2
,Philippines,49,,2,,2,45,1,0.4
,Taiwan,49,1,1,,17,31,,2.1
,Romania,49,2,,,6,43,,2.5
,Poland,47,16,,,,47,3,1.2
,Saudi Arabia,45,,,,1,44,,1.3
,Ireland,43,,1,,,42,,8.7
,Vietnam,39,,,,16,23,,0.4
,Indonesia,34,,1,,2,31,,0.1
,Palestine,30,,,,,30,,5.9
,Russia,28,,,,3,25,,0.2
,Algeria,24,4,1,1,,23,,0.5
,Georgia,24,,,,,24,1,6
,Chile,23,,,,,23,,1.2
,Costa Rica,22,,,,,22,1,4.3
,Argentina,21,,1,,,20,1,0.5
,Pakistan,20,,,,2,18,,0.1
,Croatia,19,,,,,19,,4.6
,Serbia,19,1,,,,19,,2.2
,Oman,18,,,,9,9,,3.5
,Ecuador,17,,,,,17,1,1
,Peru,17,,,,,17,,0.5
,South Africa,17,4,,,,17,,0.3
,Estonia,16,,,,,16,,12.1
,Albania,15,,1,,,14,,5.2
,Panama,14,,1,,,13,,3.2
,Hungary,13,,,,,13,,1.3
,Belarus,12,3,,,3,9,,1.3
,Mexico,12,1,,,4,8,1,0.1
,Azerbaijan,11,,,,3,8,,1.1
,Bosnia and Herzegovina,11,4,,,,11,,3.4
,Brunei,11,,,,,11,,
,Macao,10,,,,10,0,,
,Latvia,10,,,,1,9,,5.3
,Slovakia,10,,,,,10,,1.8
,Colombia,9,,,,,9,,0.2
,Maldives,8,,,,,8,,
,Bulgaria,7,,1,,,6,,1
,Afghanistan,7,,,,,7,,0.2
,Luxembourg,7,,,,,7,,
,North Macedonia,7,,,,,7,,3.4
,Tunisia,7,,,,,7,1,0.6
,Malta,7,,,,,7,,
,Morocco,6,,1,,,5,1,0.2
,Cyprus,6,,,,,6,,5
,Dominican Republic,5,,,,,5,,0.5
,New Zealand,5,,,,,5,,1
,French Guiana,5,,,,,5,,
,Paraguay,5,,,,,5,1,0.7
,Senegal,4,,,,1,3,,0.2
,Cambodia,3,,,,1,2,,0.2
,Lithuania,3,,,,,3,,1.1
,Bangladesh,3,,,,,3,,
,Cuba,3,,,,,3,,0.3
,Liechtenstein,3,,,,,3,,
,Martinique,3,,,,,3,,
,Moldova,3,,,,,3,,0.7
,Nigeria,2,,,,,2,,
,Sri Lanka,2,,,,1,1,,0.1
,Bolivia,2,,,,,2,,0.2
,Burkina Faso,2,,,,,2,,0.1
,Cameroon,2,,,,,2,,0.1
,Channel Islands,2,,,,,2,,
,Faeroe Islands,2,,,,,2,,
,Honduras,2,,,,,2,,0.2
,Jamaica,2,,,,,2,,0.7
,Saint Martin,2,,,,,2,,
,Andorra,1,,,,,1,,
,Armenia,1,,,,,1,,0.3
,Jordan,1,,,,,1,,0.1
,Monaco,1,,,,,1,,
,Nepal,1,,,,1,0,,
,Ukraine,1,,,,,1,,
,Bhutan,1,,,,,1,,
,Ivory Coast,1,,,,,1,,
,DRC,1,,,,,1,,
,French Polynesia,1,,,,,1,,
,Gibraltar,1,,,,1,0,,
,Vatican City,1,,,,,1,,
,Mongolia,1,,,,,1,,0.3
,Réunion,1,,,,,1,,
,St. Barth,1,,,,,1,,
,Togo,1,,,,,1,,0.1
,Turkey,1,,,,,1,,
,Total:,126621,432,4638,22,68322,53661,5708,16.2
